,brands,prices,tier
1545,Waterford,GGG,['mid']
1546,John Smedley,HHH,['designer']
1547,Eileen Fisher,GGG,['mid']
1548,Versace,GGG,['designer']
1549,Diesel,GGG,['mid']
1550,Barba,GGG,['mid']
1551,Hudson Jeans,HHH,['mid']
1552,Dolce & Gabbana,HHH,['designer']
1553,Jordan,HHH,['mid']
1554,ara,GGG,['fast']
1555,Ermenegildo Zegna,GGG,['designer']
1556,Chin Teo,GGG,['mid']
1557,Iceberg,GGG,['designer']
1558,B-Low the Belt,GGG,['mid']
1559,J Brand,GGG,['mid']
1560,Noah,HHH,['mid']
1561,Nike,HHH,['mid']
1562,Zachary Prell,GGG,['mid']
1563,ISABEL MARANT,GGG,['designer']
1564,Frame,HHH,['mid']
1565,Ermenegildo Zegna,GGG,['designer']
1566,Karl Lagerfeld,GGG,['designer']
1567,Fleur du Mal,GGG,['designer']
1568,Eileen Fisher,GGG,['mid']
1569,Repetto,GGG,['mid']
1570,Whistles,GGG,['mid']
1571,DKNY,HHH,['mid']
1572,Versace,HHH,['designer']
1573,Supreme,GGG,['designer']
1574,ALALA,HHH,['mid']
1575,Nudie Jeans,HHH,['mid']
1576,Suboo,HHH,['mid']
1577,BCBG,GGG,['mid']
1578,STAUD,HHH,['mid']
1579,Off-White,HHH,['designer']
1580,MSGM,HHH,['mid']
1581,Hobbs London,HHH,['mid']
1582,ROSSIGNOL,GGG,['mid']
1583,Burberry,HHH,['designer']
1584,Travis Scott,HHH,['mid']
1585,Suicoke,HHH,['mid']
1586,Ralph Lauren,HHH,['designer']
1587,Off-White,GGG,['designer']
1588,Reiss,GGG,['designer']
1589,Dr. Martens,HHH,['mid']
1590,Donna Karan,GGG,['mid']
1591,Rebecca Taylor,GGG,['mid']
1592,Palace,GGG,['designer']
1593,Billy Reid,GGG,['mid']
1594,Eric Emanuel,GGG,['mid']
1595,Eliza J,GGG,['mid']
1596,Off-White,HHH,['designer']
1597,Eton,HHH,['mid']
1598,Le Creuset,III,['mid']
1599,3x1,III,['mid']
1600,Renwil,III,['mid']
1601,The Men's Store At Bloomingdale's,HHH,['mid']
1602,Versace,III,['designer']
1603,Mother,III,['mid']
1604,Vagabond Shoemakers,HHH,['mid']
1605,Roberto Collina,III,['designer']
1606,COACH,III,['designer']
1607,Hudson Jeans,III,['mid']
1608,Missoni,III,['designer']
1609,Re/Done,HHH,['mid']
1610,MSGM,III,['mid']
1611,OVADIA & SONS,JJJ,['mid']
1612,Whistles,HHH,['mid']
1613,Feng Chen Wang,III,['mid']
1614,Fisico,JJJ,['mid']
1615,Burberry,III,['designer']
1616,Michael Kors,III,['designer']
1617,Muun,III,['mid']
1618,Ash,III,['mid']
1619,Tom Ford,III,['designer']
1620,Adidas Originals by Alexander Wang,III,['mid']
1621,Officine Generale,III,['mid']
1622,Palace,III,['designer']
1623,Versace,JJJ,['designer']
1624,Nourison,III,['designer']
1625,Zimmerli,HHH,['mid']
1626,French Connection,III,['mid']
1627,Boss Hugo Boss,III,['mid']
1628,Dolce & Gabbana,JJJ,['designer']
1629,Opening Ceremony,HHH,['mid']
1630,Le Parmentier,HHH,['mid']
1631,Donna Karan,III,['mid']
1632,Universal Standard,HHH,['mid']
1633,Derek Rose,III,['mid']
1634,Theory,HHH,['mid']
1635,Versace,JJJ,['designer']
1636,Club Monaco,HHH,['mid']
1637,Nike,III,['mid']
1638,Mignonne Gavigan,III,['mid']
1639,Gerard Darel,III,['mid']
1640,Diesel,HHH,['mid']
1641,Closed,III,['mid']
1642,Mignonne Gavigan,JJJ,['mid']
1643,Julius,III,['designer']
1644,COACH,III,['designer']
1645,Alexander McQueen,HHH,['designer']
1646,Alexander McQueen,HHH,['designer']
1647,Supreme,HHH,['designer']
1648,Adrianna Papell,III,['mid']
1649,Palace,III,['designer']
1650,Calvin Klein,III,['designer']
1651,VALENTINO,III,['designer']
1652,Supreme,JJJ,['designer']
1653,Aries,III,['mid']
1654,Arron,III,['mid']
1655,Allen Edmonds,III,['designer']
1656,Supreme,III,['designer']
1657,Michael Kors,III,['designer']
1658,Levi's,HHH,['mid']
1659,NIC+ZOE,HHH,['mid']
1660,Diane von Furstenberg,III,['designer']
1661,Emporio Armani,HHH,['mid']
1662,A.P.C.,III,['designer']
1663,Vilebrequin,III,['mid']
1664,Whistles,HHH,['mid']
1665,Converse,HHH,['mid']
1666,Faliero Sarti,HHH,['mid']
1667,Ksubi,JJJ,['mid']
1668,Tory Burch,HHH,['designer']
1669,Ann Demeulemeester,III,['designer']
1670,Current/Elliott,III,['mid']
1671,rag & bone,III,['mid']
1672,Oliver Gal,III,['mid']
1673,Linda Farrow,III,['mid']
1674,Etro,HHH,['designer']
1675,Michael Aram,HHH,['mid']
1676,Anne De Solene,HHH,['mid']
1677,Salvatore Ferragamo,HHH,['designer']
1678,Poppy Finch,III,['mid']
1679,Vince,III,['mid']
1680,Illesteva,HHH,['mid']
1681,Le Creuset,III,['mid']
1682,Adam Selman Sport,HHH,['mid']
1683,Marni,III,['designer']
1684,adidas,HHH,['mid']
1685,Emporio Armani,III,['mid']
1686,Frame,III,['mid']
1687,The Kooples,III,['mid']
1688,Kith,HHH,['mid']
1689,Lewit,III,['mid']
1690,Brides And Hairpins,HHH,['mid']
1691,Furla,III,['mid']
1692,Palace,III,['designer']
1693,Roberto Collina,HHH,['designer']
1694,Michael Stars,HHH,['mid']
1695,A Shirt Thing,III,['mid']
1696,Love by Theia,HHH,['mid']
1697,Aenea,III,['mid']
1698,Pendleton,HHH,['mid']
1699,MARIA BLACK,HHH,['mid']
1700,Kith,III,['mid']
1701,Prada,HHH,['designer']
1702,Off-White,III,['designer']
1703,Dsquared2,HHH,['designer']
1704,Parker,HHH,['mid']
1705,Ancient Greek Sandals,III,['mid']
1706,Olivia Riegel,III,['mid']
1707,Paige,HHH,['mid']
1708,Philippe Model,III,['mid']
1709,Fleur du Mal,III,['designer']
1710,L'AGENCE,HHH,['mid']
1711,Via Spiga,III,['mid']
1712,Bashian,HHH,['mid']
1713,Tory Burch,III,['designer']
1714,Nike,III,['mid']
1715,Eytys,III,['mid']
1716,Derek Rose,HHH,['mid']
1717,Vince Camuto,HHH,['mid']
1718,BAPE,III,['designer']
1719,Off-White,III,['designer']
1720,Paper London,HHH,['mid']
1721,Mother,HHH,['mid']
1722,Psychworld,III,['mid']
1723,Palace,III,['designer']
1724,L'AGENCE,HHH,['mid']
1725,Kith,III,['mid']
1726,Acler,III,['mid']
1727,adidas,HHH,['mid']
1728,Jordan,HHH,['mid']
1729,Nike,III,['mid']
1730,Nike,III,['mid']
1731,Miu Miu,III,['designer']
1732,BCBG,III,['mid']
1733,Barena Venezia,III,['mid']
1734,Mother,HHH,['mid']
1735,Umbra,III,['mid']
1736,Hermès Pre-Owned,HHH,['mid']
1737,Ader Error,HHH,['mid']
1738,Nike,HHH,['mid']
1739,adidas,III,['mid']
1740,Reiss,III,['designer']
1741,MISBHV,III,['mid']
1742,District Vision,III,['mid']
1743,Fleur du Mal,III,['designer']
1744,John Smedley,III,['designer']
1745,Karastan,III,['designer']
1746,Boss Hugo Boss,III,['mid']
1747,Chloé,JJJ,['designer']
1748,The North Face,III,['mid']
1749,Michael Aram,III,['mid']
1750,Alexis Bittar,III,['mid']
1751,Reiss,HHH,['designer']
1752,Grenson,III,['mid']
1753,LADORADA,III,['mid']
1754,Ag,HHH,['mid']
1755,Paige,HHH,['mid']
1756,Diesel,HHH,['mid']
1757,After Six,III,['mid']
1758,Ted Baker,III,['mid']
1759,L'Autre Chose,JJJ,['mid']
1760,Oscar de la Renta,JJJ,['designer']
1761,Oscar de la Renta,JJJ,['designer']
1762,Ted Muehling,III,['mid']
1763,Gas Bijoux,III,['mid']
1764,Tory Burch,JJJ,['designer']
1765,Boss Hugo Boss,III,['mid']
1766,Tory Burch,III,['designer']
1767,Lewit,III,['mid']
1768,Vilebrequin,III,['mid']
1769,Roberto Collina,III,['designer']
1770,Oriental Weavers,III,['mid']
1771,Paul Smith,JJJ,['designer']
1772,Helmut Lang,HHH,['designer']
1773,Northskull,III,['mid']
1774,John Richmond,III,['designer']
1775,Cristel,III,['mid']
1776,Diane James Home,III,['mid']
1777,Nike,III,['mid']
1778,Moncler,III,['mid']
1779,Alex Evenings,HHH,['mid']
1780,Louis Vuitton,III,['designer']
1781,Dessy Collection,III,['mid']
1782,Versace,HHH,['designer']
1783,Milly Minis,III,['mid']
1784,Michael Aram,III,['mid']
1785,MOUSSY Vintage,III,['mid']
1786,Johnny Was,III,['mid']
1787,Hudson Park Collection,III,['mid']
1788,Rebecca Minkoff,HHH,['mid']
1789,L'AGENCE,III,['mid']
1790,MSGM,JJJ,['mid']
1791,Schutz,III,['mid']
1792,Mi Mi Sol,III,['mid']
1793,Frame,III,['mid']
1794,TRAVE,III,['mid']
1795,Anne De Solene,III,['mid']
1796,Jordan,HHH,['mid']
1797,Woolrich,HHH,['designer']
1798,Nike,III,['mid']
1799,Nike,KKK,['mid']
1800,Kith,JJJ,['mid']
1801,Amaio Swim,JJJ,['mid']
1802,Moschino,JJJ,['designer']
1803,Frye,JJJ,['mid']
1804,Maria Tash,JJJ,['mid']
1805,Jenny Yoo,JJJ,['mid']
1806,Moncler,,['mid']
1807,Dsquared2,JJJ,['designer']
1808,Fumito Ganryu,KKK,['mid']
1809,Veronica Beard,JJJ,['mid']
1810,Asceno,JJJ,['mid']
1811,Taylor,JJJ,['mid']
1812,Christian Louboutin,JJJ,['designer']
1813,A.P.C.,JJJ,['designer']
1814,Private Stock,JJJ,['mid']
1815,Royal Fern,JJJ,['mid']
1816,Citizens of Humanity,JJJ,['mid']
1817,T Tahari,JJJ,['mid']
1818,Villeroy & Boch,JJJ,['mid']
1819,Isabel Marant Etoile,JJJ,['mid']
1820,Joseph,JJJ,['designer']
1821,Reiss,JJJ,['designer']
1822,Incotex,KKK,['mid']
1823,Jordan,JJJ,['mid']
1824,Vanessa Seward,KKK,['mid']
1825,Acne Studios,JJJ,['mid']
1826,Tous,,['mid']
1827,Gentle Monster,JJJ,['mid']
1828,Supreme,KKK,['designer']
1829,Dsquared2,JJJ,['designer']
1830,Just Cavalli,JJJ,['mid']
1831,ba & sh,JJJ,['mid']
1832,Panconesi,JJJ,['mid']
1833,Ted Baker,JJJ,['mid']
1834,Canali,JJJ,['designer']
1835,BAPE,,['designer']
1836,Irobot,JJJ,['mid']
1837,Heron Preston,KKK,['mid']
1838,Jaipur,KKK,['mid']
1839,Nike,JJJ,['mid']
1840,Lisa Marie Fernandez,JJJ,['mid']
1841,Acne Studios,,['mid']
1842,Ramy Brook,JJJ,['mid']
1843,MCM,KKK,['designer']
1844,OOO Traveling,JJJ,['mid']
1845,New Balance,,['mid']
1846,Dsquared2,JJJ,['designer']
1847,Sisley Paris,JJJ,['mid']
1848,3x1,JJJ,['mid']
1849,Isabel Benenato,KKK,['mid']
1850,Fame and Partners,JJJ,['mid']
1851,Surya,JJJ,['mid']
1852,Hobbs London,KKK,['mid']
1853,Cinq a Sept,JJJ,['mid']
1854,Kaws,JJJ,['mid']
1855,Marsell,JJJ,['mid']
1856,Natasha Zinko,KKK,['designer']
1857,Stone Island,KKK,['mid']
1858,Emporio Armani,JJJ,['mid']
1859,Diesel,JJJ,['mid']
1860,Barena Venezia,KKK,['mid']
1861,A.P.C.,JJJ,['designer']
1862,Gucci,KKK,['designer']
1863,By Malene Birger,KKK,['mid']
1864,Simon Pearce,KKK,['mid']
1865,Polo Ralph Lauren,JJJ,['mid']
1866,Proenza Schouler,JJJ,['mid']
1867,Joseph,KKK,['designer']
1868,Prada,JJJ,['designer']
1869,Dries Van Noten,KKK,['designer']
1870,MARIA BLACK,KKK,['mid']
1871,KENZO,JJJ,['mid']
1872,Neil Barrett,JJJ,['designer']
1873,Lafayette 148 New York,JJJ,['mid']
1874,Moschino,KKK,['designer']
1875,Gucci,KKK,['designer']
1876,Piazza Sempione,KKK,['mid']
1877,Diane von Furstenberg,JJJ,['designer']
1878,Emporio Armani,JJJ,['mid']
1879,Acne Studios,JJJ,['mid']
1880,La Mer,JJJ,['mid']
1881,Tateossian,KKK,['mid']
1882,ALLSAINTS,JJJ,['mid']
1883,Rebecca Taylor,JJJ,['mid']
1884,Gucci,KKK,['designer']
1885,Peserico,KKK,['mid']
1886,Rick Owens,JJJ,['designer']
1887,MISSONIHOME,KKK,['mid']
1888,Jonathan Simkhai,JJJ,['mid']
1889,Paul Smith,JJJ,['designer']
1890,BAPE,KKK,['designer']
1891,Sandro,JJJ,['mid']
1892,Juun.J,JJJ,['mid']
1893,Allen Edmonds,JJJ,['designer']
1894,Mulberry,JJJ,['designer']
1895,Pigeon and Poodle,JJJ,['mid']
1896,Canali,JJJ,['designer']
1897,Bernardaud,KKK,['mid']
1898,Côte & Ciel,JJJ,['mid']
1899,Akris punto,JJJ,['mid']
1900,Boss Hugo Boss,JJJ,['mid']
1901,Oliver Gal,JJJ,['mid']
1902,Moschino,KKK,['designer']
1903,SLINK Jeans,JJJ,['mid']
1904,BCBG,JJJ,['mid']
1905,Whistles,KKK,['mid']
1906,Js Collections,JJJ,['mid']
1907,Ted Baker,JJJ,['mid']
1908,Via Spiga,JJJ,['mid']
1909,Incotex,JJJ,['mid']
1910,Halston,JJJ,['designer']
1911,Missoni,JJJ,['designer']
1912,Persol,KKK,['mid']
1913,Jaipur,KKK,['mid']
1914,Lele Sadoughi,JJJ,['mid']
1915,Elie Tahari,JJJ,['mid']
1916,Alice And Olivia,JJJ,['designer']
1917,Charlotte Knowles,JJJ,['mid']
1918,Chiara Ferragni,KKK,['designer']
1919,Marysia,JJJ,['mid']
1920,Ecoalf,KKK,['mid']
1921,LemLem,JJJ,['mid']
1922,Alighieri,JJJ,['mid']
1923,Emporio Armani,JJJ,['mid']
1924,Moschino,JJJ,['designer']
1925,Eleventy,KKK,['designer']
1926,Dorothee Schumacher,JJJ,['mid']
1927,Engineered Garments,KKK,['mid']
1928,Off-White,KKK,['designer']
1929,Alighieri,KKK,['mid']
1930,John Varvatos,JJJ,['designer']
1931,Canali,JJJ,['designer']
1932,1017 ALYX 9SM,JJJ,['mid']
1933,Nike,KKK,['mid']
1934,Pas de Rouge,KKK,['mid']
1935,BAPE,KKK,['designer']
1936,iCanvas,JJJ,['mid']
1937,MARIA BLACK,KKK,['mid']
1938,John Varvatos,JJJ,['designer']
1939,Gerard Darel,JJJ,['mid']
1940,Alexachung,KKK,['mid']
1941,Ermenegildo Zegna,JJJ,['designer']
1942,Supreme,JJJ,['designer']
1943,Laneus,KKK,['mid']
1944,Joseph,JJJ,['designer']
1945,Twin-Set,JJJ,['mid']
1946,Dsquared2,JJJ,['designer']
1947,Bashian,JJJ,['mid']
1948,Whistles,KKK,['mid']
1949,Salvatore Ferragamo,,['designer']
1950,COACH,JJJ,['designer']
1951,Palace,,['designer']
1952,Eleventy,KKK,['designer']
1953,Reiss,KKK,['designer']
1954,Jennifer Behr,JJJ,['mid']
1955,Furla,JJJ,['mid']
1956,Jacob Cohen,JJJ,['mid']
1957,VALENTINO,KKK,['designer']
1958,Jacob Cohen,KKK,['mid']
1959,Palm Angels,JJJ,['designer']
1960,rag & bone,JJJ,['mid']
1961,Sunday Somewhere,JJJ,['mid']
1962,Dolce & Gabbana,JJJ,['designer']
1963,Victoria Victoria Beckham,KKK,['mid']
1964,Zwilling J.a. Henckels,JJJ,['mid']
1965,Eton,JJJ,['mid']
1966,Nike,JJJ,['mid']
1967,adidas,KKK,['mid']
1968,Moschino,JJJ,['designer']
1969,STAUD,JJJ,['mid']
1970,Fleur du Mal,JJJ,['designer']
1971,L'AGENCE,KKK,['mid']
1972,Jacob Cohen,KKK,['mid']
1973,Whiting & Davis,JJJ,['mid']
1974,John Varvatos,JJJ,['designer']
1975,Wedgwood,JJJ,['mid']
1976,Versace,KKK,['designer']
1977,Sandro,JJJ,['mid']
1978,Nike,KKK,['mid']
1979,Opening Ceremony,JJJ,['mid']
1980,Salvatore Ferragamo,JJJ,['designer']
1981,Helmut Lang,KKK,['designer']
1982,Soulland,JJJ,['mid']
1983,Tibi,JJJ,['designer']
1984,Jamie Young,JJJ,['mid']
1985,Gucci,JJJ,['designer']
1986,Veronica Beard,JJJ,['mid']
1987,YMC,KKK,['mid']
1988,Paul Smith,JJJ,['designer']
1989,Salvatore Ferragamo,JJJ,['designer']
1990,Self-Portrait,JJJ,['mid']
1991,Emanuele Bicocchi,KKK,['mid']
1992,Billionaire Boys Club,JJJ,['mid']
1993,Sisley Paris,KKK,['mid']
1994,Bloomingdale's,JJJ,['mid']
1995,Roberto Collina,JJJ,['designer']
1996,Antik Batik,JJJ,['mid']
1997,Alice And Olivia,JJJ,['designer']
1998,Gucci,LLL,['designer']
1999,PINKO,MMM,['mid']
2000,RED Valentino,III,['mid']
2001,Nike,LLL,['mid']
2002,Michael Kors,LLL,['designer']
2003,Alice Mccall,KKK,['mid']
2004,Tibi,LLL,['designer']
2005,Moncler,LLL,['mid']
2006,Vince,LLL,['mid']
2007,Victoria Victoria Beckham,MMM,['mid']
2008,Jacquemus,MMM,['mid']
2009,Supreme,LLL,['designer']
2010,Supreme,LLL,['designer']
2011,Jil Sander,MMM,['designer']
2012,Lagos,LLL,['designer']
2013,Paul Green,MMM,['mid']
2014,Billionaire Boys Club,LLL,['mid']
2015,Loloi,LLL,['mid']
2016,Bleu De Chauffe,,['mid']
2017,SFERRA,MMM,['mid']
2018,Palace,KKK,['designer']
2019,House Of Sillage,MMM,['mid']
2020,Tom Ford,MMM,['designer']
2021,Chloé,LLL,['designer']
2022,Troubadour,MMM,['mid']
2023,Tanya Taylor,MMM,['mid']
2024,Philippe Model,LLL,['mid']
2025,KENZO,KKK,['mid']
2026,Garrett Leight,MMM,['mid']
2027,Zanella,MMM,['mid']
2028,Jan Barboglio,LLL,['mid']
2029,Stone Island,KKK,['mid']
2030,Peserico,LLL,['mid']
2031,Pastori,LLL,['mid']
2032,Royal Limoges,KKK,['mid']
2033,Versace,LLL,['designer']
2034,Moschino,LLL,['designer']
2035,Vince,MMM,['mid']
2036,Neil Barrett,MMM,['designer']
2037,Simone Rocha,LLL,['designer']
2038,Jacob Cohen,LLL,['mid']
2039,Diesel,KKK,['mid']
2040,Salvatore Ferragamo,JJJ,['designer']
2041,Max Mara,,['designer']
2042,Joseph,MMM,['designer']
2043,rag & bone,LLL,['mid']
2044,Saint Laurent,MMM,['designer']
2045,Stuart Weitzman,LLL,['mid']
2046,Dior,LLL,['designer']
2047,I.D. Sarrieri,LLL,['mid']
2048,Très Bien,MMM,['mid']
2049,Off-White,LLL,['designer']
2050,Isaia,MMM,['designer']
2051,La Mer,KKK,['mid']
2052,Bloomingdale's,LLL,['mid']
2053,1017 ALYX 9SM,MMM,['mid']
2054,Rebecca Taylor,LLL,['mid']
2055,Incotex,MMM,['mid']
2056,Max Mara,LLL,['designer']
2057,Chloé Eyewear,LLL,['mid']
2058,Laundry by Shelli Segal,MMM,['mid']
2059,Icebreaker,LLL,['mid']
2060,Safavieh,LLL,['designer']
2061,Tom Ford,KKK,['designer']
2062,Rachel Zoe,LLL,['mid']
2063,LEFF amsterdam,MMM,['mid']
2064,Stone Island Junior,LLL,['mid']
2065,alexanderwang.t,LLL,['designer']
2066,alexanderwang.t,LLL,['designer']
2067,Joseph,MMM,['designer']
2068,ATM Anthony Thomas Melillo,LLL,['mid']
2069,Valentino Pre-Owned,KKK,['mid']
2070,STINE GOYA,LLL,['mid']
2071,Calligaris,LLL,['mid']
2072,Etro,GGG,['designer']
2073,Emporio Armani,MMM,['mid']
2074,JW Anderson,LLL,['mid']
2075,Off-White,,['designer']
2076,Palm Angels,KKK,['designer']
2077,Missoni,MMM,['designer']
2078,Kith,LLL,['mid']
2079,Etro,GGG,['designer']
2080,Gentle Monster,LLL,['mid']
2081,Yves Delorme,LLL,['mid']
2082,Kilian,KKK,['mid']
2083,Hickey Freeman,MMM,['mid']
2084,Raf Simons,KKK,['designer']
2085,Acne Studios,LLL,['mid']
2086,Raf Simons,LLL,['designer']
2087,Black Halo,MMM,['mid']
2088,Aurelie Bidermann,LLL,['designer']
2089,Off-White,MMM,['designer']
2090,Mephisto,LLL,['mid']
2091,Just Cavalli,MMM,['mid']
2092,Prada,LLL,['designer']
2093,Charlotte Chesnais,LLL,['mid']
2094,BAPE,LLL,['designer']
2095,Patrizia Pepe,MMM,['mid']
2096,Tory Burch,MMM,['designer']
2097,Helmut Lang,LLL,['designer']
2098,Acne Studios,MMM,['mid']
2099,Marcelo Burlon County of Milan,KKK,['mid']
2100,Michael Kors,LLL,['designer']
2101,Chie Mihara,MMM,['mid']
2102,Versace,LLL,['designer']
2103,Eshvi,MMM,['mid']
2104,Versace,LLL,['designer']
2105,Nike,LLL,['mid']
2106,Roberto Collina,LLL,['designer']
2107,Paule Ka,MMM,['designer']
2108,Alice Mccall,,['mid']
2109,STINE GOYA,LLL,['mid']
2110,Faliero Sarti,LLL,['mid']
2111,Supreme,,['designer']
2112,Carolina Herrera,LLL,['designer']
2113,The Kooples,LLL,['mid']
2114,VALENTINO,MMM,['designer']
2115,Oscar de la Renta,LLL,['designer']
2116,Oscar de la Renta,LLL,['designer']
2117,Burberry,LLL,['designer']
2118,Ramy Brook,LLL,['mid']
2119,Rodebjer,LLL,['mid']
2120,Theory,LLL,['mid']
2121,Each X Other,CCC,['mid']
2122,Ermenegildo Zegna,MMM,['designer']
2123,Khaite,LLL,['mid']
2124,Opening Ceremony,LLL,['mid']
2125,Mercedes Castillo,KKK,['mid']
2126,Aspesi,LLL,['mid']
2127,Sparrow & Wren,LLL,['mid']
2128,BCBG,MMM,['mid']
2129,Dolce & Gabbana,LLL,['designer']
2130,Supreme,MMM,['designer']
2131,Juun.J,,['mid']
2132,Stella McCartney,MMM,['designer']
2133,Jacquemus,MMM,['mid']
2134,Tory Burch,LLL,['designer']
2135,MOUSSY Vintage,LLL,['mid']
2136,Jimmy Choo,LLL,['designer']
2137,Norma Kamali,LLL,['mid']
2138,Prada,LLL,['designer']
2139,Crash Baggage,LLL,['mid']
2140,Dorateymur,LLL,['designer']
2141,Peserico,KKK,['mid']
2142,Represent,MMM,['mid']
2143,Karl Lagerfeld,LLL,['designer']
2144,Heron Preston,LLL,['mid']
2145,MARC JACOBS,LLL,['designer']
2146,John Richmond,LLL,['designer']
2147,Saint Laurent,MMM,['designer']
2148,Roseanna,MMM,['mid']
2149,VIETRI,KKK,['mid']
2150,Nike,KKK,['mid']
2151,Premiata,MMM,['mid']
2152,Coccinelle,LLL,['mid']
2153,The Elder Statesman,MMM,['designer']
2154,Tadashi Shoji,KKK,['mid']
2155,Chinti & Parker,MMM,['mid']
2156,Balenciaga Eyewear,LLL,['mid']
2157,Balmain,MMM,['designer']
2158,Prada,MMM,['designer']
2159,Palace,LLL,['designer']
2160,Etro,MMM,['designer']
2161,Nike,,['mid']
2162,Zac Zac Posen,KKK,['mid']
2163,Nk,LLL,['mid']
2164,IRO,LLL,['mid']
2165,Palmer Harding,MMM,['mid']
2166,Roberto Collina,LLL,['designer']
2167,Proenza Schouler,LLL,['mid']
2168,Nike,MMM,['mid']
2169,Prada,MMM,['designer']
2170,Miu Miu,,['designer']
2171,Dolce & Gabbana,LLL,['designer']
2172,Js Collections,LLL,['mid']
2173,Closed,MMM,['mid']
2174,KENZO,MMM,['mid']
2175,Emilio Pucci,MMM,['designer']
2176,Alexis,MMM,['designer']
2177,Zadig & Voltaire,LLL,['mid']
2178,Victoria Victoria Beckham,LLL,['mid']
2179,Christopher Kane,KKK,['designer']
2180,Michael Kors,LLL,['designer']
2181,LemLem,MMM,['mid']
2182,Jacob Cohen,LLL,['mid']
2183,Supreme,KKK,['designer']
2184,FTP,LLL,['mid']
2185,Paul Smith,LLL,['designer']
2186,L'Autre Chose,KKK,['mid']
2187,Xander Zhou,LLL,['mid']
2188,Sv Casa,LLL,['mid']
2189,Leandra Medine,MMM,['mid']
2190,Off-White,MMM,['designer']
2191,Fendi,LLL,['designer']
2192,Common Projects,MMM,['designer']
2193,Bally,LLL,['mid']
2194,J Brand,MMM,['mid']
2195,Lafayette 148 New York,LLL,['mid']
2196,Halston Heritage,MMM,['mid']
2197,Ming Wang,LLL,['mid']
2198,adidas,KKK,['mid']
2199,Vince,KKK,['designer']
2200,Le Gramme,III,['designer']
2201,Ann Demeulemeester,EEE,['designer']
2202,Tibi,MMM,['designer']
2203,Karen Walker,,['designer']
2204,Crash Baggage,,['mid']
2205,Matouk,,['designer']
2206,Nike,MMM,['mid']
2207,Miu Miu,,['designer']
2208,Jonathan Simkhai,MMM,['mid']
2209,Garrett Leight,MMM,['mid']
2210,Persol,,['mid']
2211,Salvatore Ferragamo,MMM,['designer']
2212,Ramy Brook,,['designer']
2213,Moncler,,['designer']
2214,Puma,,['designer']
2215,Stella McCartney,HHH,['designer']
2216,Nike,,['designer']
2217,3.1 Phillip Lim,,['designer']
2218,Mansur Gavriel,MMM,['mid']
2219,Sonia Rykiel,III,['designer']
2220,Cloth & Co.,LLL,['designer']
2221,Victorinox Swiss Army,MMM,['mid']
2222,Woolrich,JJJ,['designer']
2223,Dalyn Rug Company,MMM,['mid']
2224,Thom Browne,MMM,['designer']
2225,Akris punto,MMM,['mid']
2226,Repetto,,['designer']
2227,Jordan,,['designer']
2228,Travis Scott,,['mid']
2229,Psycho Bunny,MMM,['mid']
2230,Maison Margiela,,['designer']
2231,Maison Margiela,,['designer']
2232,To Boot New York,KKK,['designer']
2233,Harris Wharf,MMM,['designer']
2234,Pearls Before Swine,MMM,['mid']
2235,MSGM,GGG,['designer']
2236,Jenni Kayne,MMM,['mid']
2237,Anissa Kermiche,,['designer']
2238,YMC,,['designer']
2239,Issey Miyake,,['designer']
2240,Officine Creative,MMM,['mid']
2241,Salvatore Ferragamo,MMM,['designer']
2242,Diane von Furstenberg,,['designer']
2243,Equipment,,['designer']
2244,Nike,,['designer']
2245,Gucci,,['designer']
2246,ROSSIGNOL,,['mid']
2247,Needles,,['designer']
2248,Roberto Cavalli,MMM,['designer']
2249,Roberto Cavalli,MMM,['designer']
2250,Alexander McQueen,MMM,['designer']
2251,Alexander McQueen,MMM,['designer']
2252,Descente Allterrain,MMM,['mid']
2253,Salvatore Ferragamo,,['designer']
2254,KENZO,MMM,['mid']
2255,Dsquared2,MMM,['designer']
2256,Proenza Schouler,MMM,['mid']
2257,Bloomingdale's,GGG,['designer']
2258,John Varvatos,,['designer']
2259,John Elliott,MMM,['mid']
2260,Each X Other,LLL,['designer']
2261,Moncler,MMM,['mid']
2262,Salvatore Ferragamo,MMM,['designer']
2263,Kiki de Montparnasse,MMM,['designer']
2264,Furla,,['designer']
2265,Christine Lingerie,MMM,['mid']
2266,I.V.I.,,['mid']
2267,L'AGENCE,MMM,['mid']
2268,Miu Miu,MMM,['designer']
2269,EF COLLECTION,MMM,['mid']
2270,Marques Almeida,MMM,['mid']
2271,Halston Heritage,GGG,['designer']
2272,Elie Tahari,,['designer']
2273,Danse Lente,,['designer']
2274,KENZO,III,['designer']
2275,Kara,MMM,['mid']
2276,Gucci,,['designer']
2277,Golden Goose Deluxe Brand,MMM,['mid']
2278,Alexander McQueen,,['designer']
2279,Alexander McQueen,,['designer']
2280,Mac Duggal,MMM,['mid']
2281,Supreme,,['designer']
2282,Place Nationale,MMM,['mid']
2283,Halston Heritage,MMM,['mid']
2284,Bottega Veneta,,['designer']
2285,KENZO,MMM,['mid']
2286,Opening Ceremony,FFF,['designer']
2287,Supreme,,['designer']
2288,L'AGENCE,MMM,['mid']
2289,Thom Browne,MMM,['designer']
2290,Milly,MMM,['mid']
2291,Kith,MMM,['mid']
2292,Rebecca De Ravenel,,['designer']
2293,Michael Kors,,['designer']
2294,M Missoni,MMM,['designer']
2295,Dsquared2,KKK,['designer']
