brand,info,retailer,name,price,unbranded_name,sale_price,categories,tier,,,
Neil Barrett,Skinny-fit stretch virgin wool twill trousers in dark navy. Mid-rise. Five-pocket styling. Concealed zippered pocket at side pocket interior. Concealed drawstring at elasticized waistband. Unfinished hem. Zip-fly. Logo-engraved tonal hardware. Tonal stitching.,SSENSE,Neil Barrett Navy Skinny Diagonal Trousers,595,Neil Barrett Navy Skinny Diagonal Trousers,595,"{men_clothing,men_all,men_pants}",,,,
John Hardy,"Soft-focus hammering gives a moonlit quality to the silver pendant suspended by a hinged, engraved bale along a chain-link necklace. Style Name: John Hardy 'Dot' Pendant Necklace. Style Number: 892354. Available in stores.",NORDSTROM,Women's John Hardy 'Dot' Pendant Necklace,595,Women's John Hardy 'Dot' Pendant Necklace,595,"{women_accessory,women_all,women_necklaces}",,,,
Longchamp,"Touches of polished, logo-etched hardware detail a pebbled-leather hobo bag with minimalist styling. The lightly structured silhouette and flat base mean that it won't puddle when you put it down, and a convenient side pocket makes a perfect place to stash your keys for quick access. Style Name: Longchamp Le Foulonne Leather Hobo. Style Number: 5635673 3. Available in stores.",NORDSTROM,Longchamp Le Foulonne Leather Hobo -,560,Longchamp Le Foulonne Leather Hobo -,560,"{women_bag,women_all,women_shoulder_bags}",,,,
Telfar,"Brown cotton corduroy buttoned jacket from Telfar featuring a collar style, long sleeves, front pockets and a straight hem.",Farfetch,"Telfar - corduroy buttoned jacket - men - Cotton - S, M - Brown",548,"Telfar - corduroy buttoned jacket - men - Cotton - S, M - Brown",439,,,,,
Balenciaga,"Balenciaga's multicolored striped t-shirt completes a classic, casual outfit with the elegance of home. This jersey t-shirt with colorful diagonals remains pleasant to wear all day.",24S,Striped jersey t-shirt,550,Striped jersey t-shirt,,"{women_clothing,women_tops,women_all}",,,,
Missoni,"Family-run and relevant as-ever, Missoni is celebrated for their multicoloured woven designs, crochet trims and recognisable zig-zag patterns. This striped belt features a stretch fit, silver-tone hardware and a clasp fastening.",Farfetch,"Missoni - striped waist belt - women - Polyester/Cupro/Viscose/metal - S, M, L - Blue",640,"Missoni - striped waist belt - women - Polyester/Cupro/Viscose/metal - S, M, L - Blue",384,,,,,
Massimo Alba,"Off white cashmere oversized cashmere jumper from Massimo Alba featuring long sleeves, a crew neck and a relaxed fit.",Farfetch,"Massimo Alba - oversized cashmere jumper - women - Cashmere - XS, S - NEUTRALS",633,"Massimo Alba - oversized cashmere jumper - women - Cashmere - XS, S - NEUTRALS",589,,,,,
VALENTINO,The Valentino collection explores the possibilities of urban identity with this short-sleeved T-shirt. This streetwear piece has beautiful artistic value thanks to the strong graphic print. The pattern represents a 100% feminine imagination and a personal creative dimension.,24S,Short-sleeved T-Shirt,645,Short-sleeved T-Shirt,,"{women_clothing,women_all,women_tops}",,,,
Alberta Ferretti,"Violet cashmere-blend Tuesday intarsia jumper from Alberta Ferretti featuring a ribbed crew neck, long sleeves, a fitted silhouette, a ribbed hem and cuffs, a straight hem and a short length.",Farfetch,"Alberta Ferretti - Tuesday intarsia jumper - women - other fibers/Cashmere - 40, 44, 38, 42 - PURPLE",595,"Alberta Ferretti - Tuesday intarsia jumper - women - other fibers/Cashmere - 40, 44, 38, 42 - PURPLE",298,"{women_clothing,women_all,women_rompers}",,,,
Gucci,"A cascade of crystal fringes hangs from a triangle-shaped single earring, embellished with the Interlocking G, a defining logo formed by the initials of the House's founder Guccio Gucci. Adding a sparkling accent to the looks, the accessory evokes the dazzling atmosphere of the '70s luxurious parties held at Paris' Théâtre Le Palace—the setting for the Spring Summer 2019 fashion show. Made from metal with a palladium finish, and clear crystals. Featuring an interlocking G detail.",Farfetch,Gucci - Single earring with crystals - women - metal/Crystal - One Size - Metallic,550,Gucci - Single earring with crystals - women - metal/Crystal - One Size - Metallic,550,"{women_accessory,women_all,women_earrings}",,,,
Alice And Olivia,"Coming or going, this bootie is totally fashion-forward thanks to a sleek pointy-toe silhouette and a genuine calf-hair upper featuring two animal prints. Style Name: Alice + Olivia Fayla Split Animal Print Genuine Calf Hair Bootie (Women). Style Number: 5868666. Available in stores.",NORDSTROM,Women's Alice + Olivia Fayla Split Animal Print Genuine Calf Hair Bootie,550,Women's Alice + Olivia Fayla Split Animal Print Genuine Calf Hair Bootie,550,"{women_boots,women_all,women_shoe}",,,,
Bally,"Bally is renowned for its exquisite craftsmanship, unfailing attention to detail and understated aesthetic. These dark brown and tan Wenis loafers are crafted from leather and suede and feature an almond toe, a flat sole, a panelled colour block design, decorative perforations, a panelled colour block design and a slip-on style.",Farfetch,"Bally - Wenis loafers - men - Calf Leather/Leather - 10, 7, 7.5, 11 - Brown",595,"Bally - Wenis loafers - men - Calf Leather/Leather - 10, 7, 7.5, 11 - Brown",417,"{men_shoe,men_all,men_slip_ons_and_loafers}",,,,
Polo Ralph Lauren,"Polo Ralph Lauren’s collection presents this season’s most eye-catching pieces that combine the iconic brand focus on sports-inspired clothes with Lauren’s sophisticated sense of style. This light beige cotton blend belted trench coat from Polo Ralph Lauren will surely make a solid addition to your wardrobe. Featuring a classic collar, a front button fastening, a belted waist, a full lining and a rear central vent.",Farfetch,Polo Ralph Lauren - belted trench coat - men - Spandex/Elastane/Viscose/Cotton/Cupro - 40 - NEUTRALS,568,Polo Ralph Lauren - belted trench coat - men - Spandex/Elastane/Viscose/Cotton/Cupro - 40 - NEUTRALS,568,"{men_clothing,men_all,men_coats_and_jackets}",,,,
Sergio Rossi,"Nude patent leather pointed toe pumps from Sergio Rossi featuring a low vamp, a brand embossed insole, a chunky mid-heel and a leather sole.",Farfetch,"Sergio Rossi - pointed toe pumps - women - Patent Leather/Leather - 36, 36.5, 37.5, 38, 39.5, 41 - NEUTRALS",595,"Sergio Rossi - pointed toe pumps - women - Patent Leather/Leather - 36, 36.5, 37.5, 38, 39.5, 41 - NEUTRALS",595,,,,,
KENZO,"Kontact Eye Crossbody Bag crafted in smooth leather with inlaid detail, carries one of the brand's most iconic symbols - the eye. The curved understated silhouette makes it perfect piece for day to evening looks. Featuring flap top with hidden magnetic close, Eye detail printed in néon tones and jeweled inserts, internal zip pocket and card slot, detachable clip snake chain shoulder strap, and silver tone hardware.",FORZIERI,"Kenzo Designer Handbags, Kontact Eye Crossbody Bag",575,"Kenzo Designer Handbags, Kontact Eye Crossbody Bag",345,"{women_bag,women_shoulder_bags,women_all}",,,,
Giuseppe Zanotti,"White leather patent detail sneakers from Giuseppe Zanotti featuring a round toe, a lace-up front fastening, side zip fastenings, a silver-tone logo plaque, a ridged rubber sole and stitching details.",Farfetch,Giuseppe Zanotti - patent detail sneakers - men - Leather/Rubber - 40 - White,641,Giuseppe Zanotti - patent detail sneakers - men - Leather/Rubber - 40 - White,449,"{men_shoe,men_all,men_sneakers}",,,,
Marni,"Crafted in Italy, this multicoloured calf leather colour-block wallet from Marni showcases the label's flair for contrast and unexpected combinations. Featuring a rectangular body, a front embossed logo stamp, a foldover top with snap closure, multiple interior card slots, a zipped coin pouch, a front slip pocket and a back slip pocket.",Farfetch,Marni - colour-block wallet - women - Calf Leather/Ovine Leather (top grain) - One Size - ORANGE,633,Marni - colour-block wallet - women - Calf Leather/Ovine Leather (top grain) - One Size - ORANGE,633,,,,,
Off-White,"White and red leather logo low-rise trainers from Off-White featuring glitter details, a branded insole, an almond toe, a front lace up detail, a flat rubber sole and signature red tag detail.",Farfetch,"Off-White - logo low-rise trainers - men - Leather/Polyester/Rubber - 41, 43, 44, 45 - White",560,"Off-White - logo low-rise trainers - men - Leather/Polyester/Rubber - 41, 43, 44, 45 - White",392,"{men_shoe,men_all,men_sneakers}",,,,
Saint Laurent,A stitched interlocking insignia makes an understated signature statement on a calfskin leather slide sandal finished with a comfortable molded footbed. Style Name: Saint Laurent Jimmy Logo Slide Sandal (Women). Style Number: 5727511. Available in stores.,NORDSTROM,Women's Saint Laurent Jimmy Logo Slide Sandal,545,Women's Saint Laurent Jimmy Logo Slide Sandal,326.9,"{women_shoe,women_all,women_sandals}",,,,
Saint Laurent,"The Webster - With every new season collection, Saint Laurent continues to reference the rich archive of founder Yves Saint Laurent, as showcased by these fluorescent yellow calf leather Bedford sneakers. Featuring a round toe, a lace-up front fastening, a contrasting heel counter, a branded insole and a white rubber sole.",The Webster,Saint Laurent - Yellow Men's Bedford Sneakers - The Webster,545,Saint Laurent - Yellow Men's Bedford Sneakers - The Webster,,"{men_sneakers,men_shoe,men_all}",,,,
BAPE,BAPE Applique MA1 Bomber Jacket Black,StockX,BAPE Applique MA1 Bomber Jacket Black,599,BAPE Applique MA1 Bomber Jacket Black,,"{men_clothing,men_all,men_coats_and_jackets}",,,,
Dolce & Gabbana,dolcegabbana G8KD0ZG7SUR N0000 BLACK Cotton/Acrylic/Acetate/Polyester/viscose,Farfetch,"Dolce & Gabbana - King patch T-shirt - men - Viscose/Cotton/Acetate/Polyester - 48, 50, 46, 44, 54 - Black",575,"Dolce & Gabbana - King patch T-shirt - men - Viscose/Cotton/Acetate/Polyester - 48, 50, 46, 44, 54 - Black",345,,,,,
John Hardy,"John Hardy's Bamboo Collection reveals the elegance of nature and gives back through the sowing of bamboo seedlings with each purchase, celebrating its sustainable luxury heritage. Sculpted in sterling silver, this Bamboo ring features black sapphires. Sterling silver Bamboo sapphire ring from john hardy featuring black sapphires. POSITIVELY CONSCIOUS: We’ve joined forces with ethical agency Good On You to give you the power to choose positively. This piece is from a brand that scores well on their key criteria.",Farfetch,"John Hardy - Bamboo sapphire ring - women - Sapphire/Sterling Silver - 8, 7, 6 - SILVER",595,"John Hardy - Bamboo sapphire ring - women - Sapphire/Sterling Silver - 8, 7, 6 - SILVER",595,"{women_accessory,women_all,women_rings}",,,,
Off-White,Off-White opts for a comfortable fit and design with this Jogging t-shirt. The long-sleeved shirt features a number of sophisticated technical details.,24S,Jogging t-shirt,605,Jogging t-shirt,,"{men_clothing,men_all,men_tops}",,,,
Chloé,"Pre-order this style today! Add to Shopping Bag to view approximate ship date. You'll be charged only when your item ships.A sophisticated play on a signature Chloe look, this leather flat features a scalloped heel and counter that give way to a notched pointy toe. Style Name: Chloe Laurena Scalloped Flat (Women). Style Number: 5851011. Available in stores.",Bergdorf Goodman,Laurena Scalloped Ballet Flats,595,Laurena Scalloped Ballet Flats,595,"{women_shoe,women_all,women_flats}",,,,
A.L.C.,"A.L.C. ""Avi"" dress in floral-print. V neckline. Short sleeves. A-line silhouette. Maxi length. High-low hem. Slipover style. Silk. Dry clean. Imported.",Bergdorf Goodman,Avi Floral-Print Silk Maxi Dress,645,Avi Floral-Print Silk Maxi Dress,316,"{women_clothing,women_all,women_dresses}",,,,
Furla,"Diva S Shoulder Bag brings modern elegance to your everyday with its structured silhouette, gusseted structure and bold geometric hardware. Crafted in grained leather, the bag features fap top with pyramid press lock closure, chain and leather top handle, detachable shoulder strap, pocket under flap, internal slip pocket, rear pocket, and gold tone hardware. Signature dust bag included. Made in Italy.",FORZIERI,"Furla Designer Handbags, Diva S Shoulder Bag",587,"Furla Designer Handbags, Diva S Shoulder Bag",,"{women_bag,women_all,women_shoulder_bags}",,,,
Max Mara,Wool sherpa pouch in tan. Brown suede trim throughout. Adjustable belt-style strap with post-stud fastening. Zippered pocket at back face. Zip closure at main compartment. Tonal suede lining. Gold-tone hardware. Approx. 12 length x 7 height x 3 width. Supplier color: Camel,SSENSE,Max Mara Tan Teddy Wool Bum Bag,630,Max Mara Tan Teddy Wool Bum Bag,630,"{women_bag,women_all,women_belt_bags}",,,,
Alexandre Birman,"Brown leather heeled Clarita sandals from Alexandre Birman featuring a high stiletto heel, a branded insole, an ankle strap with a tie fastening and an open toe.",Farfetch,"Alexandre Birman - heeled Clarita sandals - women - Leather - 37, 37.5, 38, 38.5, 39, 40, 41 - Brown",557,"Alexandre Birman - heeled Clarita sandals - women - Leather - 37, 37.5, 38, 38.5, 39, 40, 41 - Brown",552,,,,,
Tumi,"Even if you're planning an extended trip, this ultra-versatile rolling carry-on provides ample space for all your outfits (including an area for suits). Built from ultra-tough fabric that can withstand the rigors of travel, it features an expandable main compartment for the extra items you might pick up along the way and keeps your smaller essentials organized within its various interior pockets. The swiveled four-wheel design eases the journey",NORDSTROM,Tumi Merge - 22-Inch Continental Expandable Rolling Carry-On -,625,Tumi Merge - 22-Inch Continental Expandable Rolling Carry-On -,625,"{men_luggage,men_bag,men_all,women_luggage,women_bag,women_all,luggage}",,,,
Blumarine,"Pink side drape dress from Blumarine featuring a v-neck, a sleeveless design and a mid-length.",Farfetch,"Blumarine - side drape dress - women - Acetate/Polyester/Spandex/Elastane - 42, 44, 46 - PINK",639,"Blumarine - side drape dress - women - Acetate/Polyester/Spandex/Elastane - 42, 44, 46 - PINK",320,"{women_clothing,women_all,women_dresses}",,,,
Furla,"Diva L Tote Bag has room to spare with its elegant lines and gusseted silhouette that brings modern elegance to your everyday. Crafted in textured leather with contrasting detail, the bag features strap pyramid press lock closure, double long handles to wear on the shoulder r carry by hand, two open compartments and center zip divider, metal feet, and gold tone hardware. Signature dust bag included. Made in Italy.",FORZIERI,"Furla Designer Handbags, Diva L Tote Bag",588,"Furla Designer Handbags, Diva L Tote Bag",,"{women_bag,women_all,women_tote_bags}",,,,
Acne Studios,"Acne Studios’ bold AW19 offering took the Swedish label into brave new territory, with iconic silhouettes disrupted by a daringly youthful spirit. Case in point: this light brown and lilac silk floral print boxy shirt. Featuring a classic collar, a front button fastening, long sleeves, a floral print and a curved hem.",Farfetch,Acne Studios - floral print boxy shirt - women - Silk - 32 - Brown,590,Acne Studios - floral print boxy shirt - women - Silk - 32 - Brown,590,,,,,
Magda Butrym,"Black  high-waist pleated trousers from Magda Butrym featuring a high waist, a waistband with belt loops, a concealed front fastening, a pleated design and a regular length.",Farfetch,Magda Butrym - high-waist pleated trousers - women - Silk/Viscose - 36 - Black,630,Magda Butrym - high-waist pleated trousers - women - Silk/Viscose - 36 - Black,567,"{women_clothing,women_all,women_pants}",,,,
Balenciaga,"The Webster - Paying homage to the city of Paris, these black slippers feature an embroidered logo at front and a shimmering gold Eiffel Tower.",The Webster,Balenciaga - Black Men's Paris Slippers - The Webster,595,Balenciaga - Black Men's Paris Slippers - The Webster,,"{men_shoe,men_all,men_slides}",,,,
Salvatore Ferragamo,Signature Gancini logos provide the backdrop for a stunning avian print on this luxe square scarf woven from soft wool and finished with fringed edges. Style Name: Salvatore Ferragamo Ganci Pheasant Wool Scarf. Style Number: 5849943. Available in stores.,NORDSTROM,Women's Salvatore Ferragamo Ganci Pheasant Wool Scarf,590,Women's Salvatore Ferragamo Ganci Pheasant Wool Scarf,590,"{women_scarves,women_all,women_accessory}",,,,
Givenchy,"Infused with the label’s signature dark romanticism and urban styling, French fashion house Givenchy was originally founded in 1952 by acclaimed couturier Hubert de Givenchy. Black wool, mohair and cotton classic formal trousers from Givenchy featuring a mid rise, a waistband with belt loops, a hook and zip fastening and  side slit pockets.",Farfetch,Givenchy - classic formal trousers - men - Viscose/Mohair/Cotton/Wool - 46 - Black,640,Givenchy - classic formal trousers - men - Viscose/Mohair/Cotton/Wool - 46 - Black,640,"{men_clothing,men_all,men_pants}",,,,
ISABEL MARANT,"Isabel Marant's Bobby sneakers are an iconic shoe silhouette from the Parisian fashion house, arriving for AW17 in a versatile chalk colourway. Crafted from supple off-white suede with a leather lining, the pair merges a comfortable sneaker style with chic details and a stylish height boost. The shoes boast a round toe, a lace-up front fastening, a flat rubber sole, a concealed wedge heel and decorative perforations.",Farfetch,Isabel Marant - Étoile Bobby sneakers - women - Rubber/Suede - 40 - NEUTRALS,600,Isabel Marant - Étoile Bobby sneakers - women - Rubber/Suede - 40 - NEUTRALS,600,"{women_shoe,women_all,women_sneakers}",,,,
Lagos,Signature Caviar beading swirls around your finger in this eye-catching ring finished with sparkling gemstones. Style Name: Lagos Signature Caviar Crossover Ring. Style Number: 5654280. Available in stores.,NORDSTROM,Women's Lagos Signature Caviar Crossover Ring,600,Women's Lagos Signature Caviar Crossover Ring,600,"{women_accessory,women_all,women_rings}",,,,
Shrimps,"Multicolour silk Elara dress from Shrimps featuring a sleeveless design, a deep V neck, a cinched waist, a ruffle trimming, a knee length and a floral pattern.",Farfetch,"Shrimps - Elara dress - women - Silk - 8, 6 - White",591,"Shrimps - Elara dress - women - Silk - 8, 6 - White",414,"{women_clothing,women_all,women_dresses}",,,,
Fear of God,FEAR OF GOD Skinny Fit Distressed Denim with Ankle Zippers Jeans Indigo,StockX,FEAR OF GOD Skinny Fit Distressed Denim with Ankle Zippers Jeans Indigo,550,FEAR OF GOD Skinny Fit Distressed Denim with Ankle Zippers Jeans Indigo,,"{men_clothing,men_all,men_jeans}",,,,
Golden Goose Deluxe Brand,"What better way to spice up your wardrobe than by purchasing a signature pair of Golden Goose sneakers. Start, as the name suggests, with these white leather Starter sneakers from Golden Goose, featuring a lace-up front fastening, a pull tab at the rear, a brand embossed tongue, a perforated style, a ridged rubber sole, a round toe and a contrasting red suede heel counter.",Farfetch,"Golden Goose - Starter sneakers - women - Cotton/Rubber/Leather - 35, 36, 37, 38, 39, 40, 41 - White",585,"Golden Goose - Starter sneakers - women - Cotton/Rubber/Leather - 35, 36, 37, 38, 39, 40, 41 - White",585,,,,,
Magnanni,"Brown calf leather woven tassel loafers from Magnanni featuring an almond toe, a low block heel, a slip-on style and a branded insole.",Farfetch,"Magnanni - woven tassel loafers - men - Calf Leather - 40, 40.5 - Brown",556,"Magnanni - woven tassel loafers - men - Calf Leather - 40, 40.5 - Brown",556,,,,,
Sydney Evan,"Sydney Evan jasper bracelet with flower drop. 14-karat yellow gold logo and flower charms. 8mm smooth round impression jasper beads. Paisley flower with diamond petals and pearl. Naturally white freshwater cultured pearl. 0.089 total diamond carat weight. Approx. 6.25""L; 2.5"" diameter. Slip-on style. Made in USA.",Bergdorf Goodman,14k Pearl Paisley Flower Jasper-Bead Bracelet,540,14k Pearl Paisley Flower Jasper-Bead Bracelet,,"{women_accessory,women_all,women_bracelets}",,,,
Pierre Hardy,"Pierre Hardy suede low-top sneaker. Platform heel. Round toe. Stretch strap over vamp. Slip-on style. Pull-tab at back collar. Leather lining. Rubber outsole. ""Slider"" is made in Portugal.",Bergdorf Goodman,Slider Suede Slip-On Low-Top Sneakers,545,Slider Suede Slip-On Low-Top Sneakers,,"{women_shoe,women_all,women_sneakers}",,,,
Santoni,"Brown leather, pony fur and rubber animal print loafers from Santoni featuring a round toe, a branded insole, a flat sole, a zebra pattern and a slip-on style.",Farfetch,"Santoni - animal print loafers - women - Pony Fur/Leather/Rubber - 36, 37, 37.5, 38.5, 39 - Brown",610,"Santoni - animal print loafers - women - Pony Fur/Leather/Rubber - 36, 37, 37.5, 38.5, 39 - Brown",604,,,,,
Tabitha Simmons,"Tabitha Simmons suede mules with knotted silk bow. 0.2"" flat heel. Pointed toe. Slide style. Leather lining. Smooth outsole. ""Aida"" is made in Italy.",Bergdorf Goodman,Aida Suede Flat Mules,645,Aida Suede Flat Mules,258,"{women_mules,women_all,women_shoe}",,,,
ROSSIGNOL,Red and black side stripe bootleg trousers from Rossignol.,Farfetch,"Rossignol - side stripe bootleg trousers - women - Spandex/Elastane/Polyamide/Polyester - S, XL, L, XS, M - Red",649,"Rossignol - side stripe bootleg trousers - women - Spandex/Elastane/Polyamide/Polyester - S, XL, L, XS, M - Red",649,,,,,
Forte Forte,"Crafted from a rich material, these floral print velvet pants by Forte Forte are enriched by refined, handmade details. The floral patterns and lively colors are tempered by the neutral background full of sophistication. These pants, with their flowing, casual cut, reveal a retro style. Soft and luminous, they are a pleasure to wear over a fitted top and wedge heels.",24S,Floral print velvet pants,625,Floral print velvet pants,250,"{women_shoe,women_all,women_wedges}",,,,
Issey Miyake,Issey Miyake georgette shirt. Pleated cape collar, button front. Long sleeves. Relaxed fit. Polyester. Made in Japan.,Bergdorf Goodman,Pleated-Collar Button-Down Shirt,630,Pleated-Collar Button-Down Shirt,,"{women_all,women_clothing,women_tops}",,,
Engineered Garments,"Long sleeve quilted cotton velour bomber jacket in green. Tonal rib knit stand collar, cuffs, and hem. Zip closure and press-stud fastening at front. Welt pockets at waist and interior. Fully lined. Logo-engraved tonal and antiqued gunmetal-tone hardware. Supplier color: Olive",SSENSE,Engineered Garments Green Velvet Bomber Jacket,625,Engineered Garments Green Velvet Bomber Jacket,625,"{men_clothing,men_all,men_coats_and_jackets}",,,,
Alexander McQueen,"Restlessly inserting light punk rock references to traditional pieces, Alexander McQueen's design embodies attitude and provoking statements as seen in these  white calf leather oversized sneakers. Featuring a round toe, a lace-up front fastening, a contrasting heel counter, branded heel counter and a chunky rubber sole.",Farfetch,"Alexander McQueen - oversized sneakers - men - Calf Leather/Leather/Rubber - 41, 44, 42, 42.5 - White",590,"Alexander McQueen - oversized sneakers - men - Calf Leather/Leather/Rubber - 41, 44, 42, 42.5 - White",590,,,,,
ALANUI,"Inspired by Navajo-style iconography, Italian label Alanui takes knitwear to new levels with their colourful jacquard designs and expert craftsmanship. This light blue wool-cashmere blend Reseda bucket hat from Alanui features a bandanna intarsia pattern and a slouchy design.",Farfetch,Alanui - Reseda bucket hat - men - Wool/Cashmere - One Size - Blue,605,Alanui - Reseda bucket hat - men - Wool/Cashmere - One Size - Blue,303,,,,,
Nanushka,"Wax yellow  Akita long dress from Nanushka featuring a pointed collar, a v-neck, long sleeves, a tie waist and a flared style.",Farfetch,"Nanushka - Akita long dress - women - Triacetate/Polypropylene - XS, S, M - NEUTRALS",631,"Nanushka - Akita long dress - women - Triacetate/Polypropylene - XS, S, M - NEUTRALS",631,"{women_clothing,women_all,women_dresses}",,,,
Ann Demeulemeester,ANN DEMEULEMEESTER 19021406P170 099 Virgin Wool/Cotton/Rayon,Farfetch,"Ann Demeulemeester - cropped tapered trousers - women - Cotton/Virgin Wool/Rayon - 40, 36, 34, 38 - Black",607,"Ann Demeulemeester - cropped tapered trousers - women - Cotton/Virgin Wool/Rayon - 40, 36, 34, 38 - Black",364,,,,,
A.P.C.,"Black calf leather and cotton blend logo embossed tote from A.P.C. featuring round top handles, a rectangular body, a magnetic fastening, a main internal compartment and an internal slip pocket.",Farfetch,A.P.C. - logo embossed tote - women - Cotton/Calf Leather/Acrylic - One Size - Black,641,A.P.C. - logo embossed tote - women - Cotton/Calf Leather/Acrylic - One Size - Black,449,"{women_bag,women_all,women_tote_bags}",,,,
Kiton,Exclusively ours. Kiton shirt in a micro floral-print. Spread collar, button front. Long sleeves, mitered cuffs. Classic fit. Shirttail hem. Cotton. Made in Italy.,Bergdorf Goodman,Men's Micro Floral Cotton Shirt,595,Men's Micro Floral Cotton Shirt,,,"{men_clothing,men_all,men_shirts}",
Salvatore Ferragamo,Salvatore Ferragamo Women's Ginostra Kitten-Heel Slide Sandals - 100% Exclusive-Shoes,Bloomingdale's,Salvatore Ferragamo Women's Ginostra Kitten-Heel Slide Sandals - 100% Exclusive,595,Salvatore Ferragamo Women's Ginostra Kitten-Heel Slide Sandals - 100% Exclusive,,{women sandals},,,,
Nili Lotan,"Black silk puff sleeve blouse from Nili Lotan featuring long sleeves, button cuffs, a straight fit and a front button fastening.",Farfetch,Nili Lotan - puff sleeve blouse - women - Silk - S - Black,550,Nili Lotan - puff sleeve blouse - women - Silk - S - Black,385,"{women_clothing,women_all,women_tops}",,,,
ASAI,"White cotton corduroy wide-leg trousers from ASAI featuring a waistband with belt loops, a button and zip fly, side pockets, a back welt pocket, a flap pocket, frayed edges and a regular length.",Farfetch,"ASAI - corduroy wide-leg trousers - women - Cotton/Polyurethane - 6, 10, 8 - White",648,"ASAI - corduroy wide-leg trousers - women - Cotton/Polyurethane - 6, 10, 8 - White",518,,,,,
Jimmy Choo,"Mesmerizing glitter lends a showstopping update to a classic slide sandal set on a metallic, logo-embossed block heel. Style Name: Jimmy Choo Joni Slide Sandal (Women). Style Number: 5718432. Available in stores.",NORDSTROM,Women's Jimmy Choo Joni Slide Sandal,575,Women's Jimmy Choo Joni Slide Sandal,575,"{women_shoe,women_all,women_sandals}",,,,
Meira T,"Meira T 14K Yellow & White Gold Diamond Multi Disc Pendant Necklace, 18-Jewelry & Accessories",Bloomingdale's,"Meira T 14K Yellow & White Gold Diamond Multi Disc Pendant Necklace, 18",550,"Meira T 14K Yellow & White Gold Diamond Multi Disc Pendant Necklace, 18",,"{women_accessory,women_all,women_necklaces}",,,,
Rebecca Vallance,"Black sequin embellished dress from REBECCA VALLANCE featuring a v-neck, long sleeves, a fitted silhouette and a short length.",Farfetch,"Rebecca Vallance - sequin embellished dress - women - Polyester - 6, 8, 10, 12, 14 - Black",630,"Rebecca Vallance - sequin embellished dress - women - Polyester - 6, 8, 10, 12, 14 - Black",630,,,,,
Maison Kitsune,"Navy logo print bomber jacket  from Maison Kitsuné featuring a high standing collar, a front button fastening, long sleeves, side pockets and a straight hem.",Farfetch,"Maison Kitsuné - logo print bomber jacket  - men - Acetate/Polyamide/Viscose - S, XS, M, L - Blue",648,"Maison Kitsuné - logo print bomber jacket  - men - Acetate/Polyamide/Viscose - S, XS, M, L - Blue",648,,,,,
Alexander McQueen,Add a sly touch of rebellious cool to your look with an Italian-made necklace crafted with a bejeweled spider attached to an organically shaped imitation pearl. Style Name: Alexander Mcqueen Spider Pendant Necklace. Style Number: 5849565. Available in stores.,NORDSTROM,Women's Alexander Mcqueen Spider Pendant Necklace,640,Women's Alexander Mcqueen Spider Pendant Necklace,640,{women necklaces},,,,
Helmut Lang,"Khaki wool slim-fit trousers from Helmut Lang featuring a high waist, belt loops, a slim fit, a concealed front fastening and pressed creases.",Farfetch,"Helmut Lang - slim-fit trousers - women - Cotton/Wool - 4, 0, 2, 6, 10, 8 - Green",549,"Helmut Lang - slim-fit trousers - women - Cotton/Wool - 4, 0, 2, 6, 10, 8 - Green",467,"{women_clothing,women_all,women_pants}",,,,
Sydney Evan,"Sandalwood bead bracelet by Sydney Evan. 14-karat rose gold logo and marquise charms. 3mm smooth round sandalwood as beading. Marquise-petal charm with brilliant diamonds. Approx. 6.25""L; 2.5"" diameter; 0.4""H drop. 0.115 total diamond carat weight. Slip-on style. Imported.",Bergdorf Goodman,14k Rose Gold Marquise Diamond & Sandalwood Bracelet,540,14k Rose Gold Marquise Diamond & Sandalwood Bracelet,,"{women_accessory,women_all,women_bracelets}",,,,
Robe di Firenze,"Burgundy and Red Croco Stamped Italian Leather Shoulder Bag crafted in Florence, is as elegant in design as in texture that can double as an office bag. Featuring flap top twist lock closure, outer zip pocket, 2 large compartments and gold tone hardware detail. Signature dust bag included. Made in Italy.",FORZIERI,"Robe di Firenze Designer Handbags, Burgundy and Red Croco Stamped Italian Leather Shoulder Bag",540,"Robe di Firenze Designer Handbags, Burgundy and Red Croco Stamped Italian Leather Shoulder Bag",,"{women_bag,women_shoulder_bags,women_all}",,,,
Les Reveries,"Founded by sister duo Ai Ly and Wayne Lee, Les Rêveries is a New York-based womenswear label that represents individuality, timelessness and imagination. Translating to ‘The Musings’, it captures the designers’ love of art, music and poetry through romantic prints and ruffle trims. Crafted from silk, this multicoloured floral-print cami maxi-dress  from Les Rêveries features thin adjustable straps, a v-neck, a concealed side zip fastening, a thigh-high side slit and ruffled trims.",Farfetch,"Les Reveries - floral-print cami maxi-dress  - women - Silk - 4, 10, 12, 6, 8 - Multicolour",630,"Les Reveries - floral-print cami maxi-dress  - women - Silk - 4, 10, 12, 6, 8 - Multicolour",430,"{women_clothing,women_all,women_dresses}",,,,
Adina Reyter,Adina Reyter 14K Yellow Gold Turquoise or Opal & Diamond Teardrop Stud Earrings-Jewelry & Accessories,Bloomingdale's,Adina Reyter 14K Yellow Gold Turquoise or Opal & Diamond Teardrop Stud Earrings,598,Adina Reyter 14K Yellow Gold Turquoise or Opal & Diamond Teardrop Stud Earrings,,"{women_accessory,women_all,women_earrings}",,,,
